oracion,clave,0,0,1
agua que no has de beber dejala correr,agua,9,1.00600673449e-07,1.98168707268e-09
nunca digas de esta agua no bebere,agua,9,1.45162765067e-07,2.16112233546e-07
barriga llena corazon contento,comida,5,0.000135944987952,7.06961939761e-05
el leon cree que todos son de su condicion,animales,9,2.65062287883e-08,-2.85184287484e-10
al que madruga dios le ayuda,dios,12,-2.10335669888e-06,2.23027670706e-09
mas vale malo por conocido que bueno por conocer,relaciones sociales,9,1.11296540834e-10,1.48418831873e-08
ojos que no ven corazon que no siente,partes del cuerpo,9,-2.03094681723e-07,9.06416212974e-09
no todo lo que brilla es oro,objetos,9,-5.71924229872e-07,-5.13325373502e-08
cada oveja con su pareja,animales,11,6.03055533478e-06,3.04086668978e-06
de tal palo tal astilla,objetos,10,-2.05572615112e-05,-8.58187872674e-06
mas vale paso que dure que trote que canse,ejercicio,9,-4.91438542288e-10,-8.64089583538e-10
muerto el perro se acabo la rabia,animales,9,-2.04456084558e-07,7.92908001112e-08
quien rie al ultimo rie mejor,personas,20,7.83951142103e-07,-5.56642246303e-09
hablando del rey de roma por la puerta asoma,relaciones sociales,9,-1.98308803853e-10,-1.03176775249e-09
cuando el rio suena es porque agua lleva,agua,9,-5.73860466072e-10,7.60440496525e-10
preguntando se llega a roma,viajes,13,2.07773013797e-06,-4.36029012722e-06
no hay peor sordo que el que no quiere oir,personas,9,1.34753172146e-09,1.27697513854e-12
la suerte de la fea la bonita la desea,relaciones sociales,9,-4.70407502812e-13,-1.01439826704e-08
al mal tiempo buena cara,clima,6,-2.90693171608e-05,6.08130328054e-08
el tiempo todo lo cura,tiempo,7,-1.81958102997e-05,-1.79062386899e-05
frase,clase,1,-0.162417843938,-0.0670670866966
despues de la tormenta viene la calma,clima,9,1.69494578388e-08,4.24382785069e-07
a la mejor cocinera se le queman los frijoles,comida,9,1.24699629619e-12,6.03196473904e-11
el que con lobos anda a aullar se ensena,animales,9,-2.36346740207e-11,-1.0480377177e-10
a darle que es mole de olla,comida,9,-6.44259900477e-08,1.43511058227e-08
a fuerzas ni los zapatos entran,objetos,17,-2.03752088613e-06,-1.41733199514e-06
dando y dando pajarito volando,animales,16,-3.45431051889e-06,-3.42174195601e-09
el muerto y el arrimado a los tres dias apestan,relaciones sociales,9,-1.79348773344e-10,1.8517644713e-11
que suerte tienen los que no se banan,causa y consecuencia,9,9.38784365881e-08,-4.31865479243e-09
nadie sabe para quien trabaja,trabajo,14,-3.19643390581e-05,1.40743715016e-06
las cosas caen por su propio peso,objetos,9,-2.14000873188e-08,-1.96078159822e-08
no familiares,no familiares,2,-0.0156240739955,-0.00666533199459
cada quien cuenta como le va en la feria,diversion y ocio,9,-1.27293072881e-09,-3.0125951552e-09
el que es vencido hoy sera vencedor manana,problemas y soluciones,9,-3.87277019896e-09,-4.9214226172e-09
un acomedido hasta en la carcel cabe,personas,19,5.57837855609e-07,-1.61447277833e-06
amor viejo ni te olvido ni te dejo,amor y amistad,9,1.12137411109e-08,6.32182091216e-10
el que padece de amor hasta con las piedras habla,amor y amistad,9,-1.37140213378e-09,9.63194868848e-14
cuando el arriero es malo le echa la culpa a los burros,personas,9,-3.11666717895e-17,-5.60690255617e-14
por un borrego no se juzga la manada,animales,9,1.70005883321e-09,-7.41467684021e-08
cada quien se pone la corona que se labra,objetos,9,6.20594775085e-09,1.35623638229e-08
dime que comes y te dire cuanto tienes,comida,9,-6.4272369359e-09,-2.78382771125e-08
el que tenga sus gallinas que las cuide del coyote,animales,9,-6.76027275699e-11,4.95484474632e-12
no le hace que nazcan chatos con tal que respiren bien,personas,9,1.77772791693e-11,2.75384607635e-12
el hombre que sabe pronto sobresale,personas,18,6.73980257871e-07,9.18350263968e-07
hombre casado hombre acabado,personas,3,6.17084813452e-08,-0.00202862775458
el que mete mano en bolsa ajena muy pronto hallara la pena,causa y consecuencia,9,-6.83757488829e-15,1.73803936896e-15
salir a mano es ganancia,partes del cuerpo,0,-1.08508638395e-08,2.33861146242e-06
a animal que no conozcas no le tientes las orejas,animales,9,-2.46625592665e-13,4.06037992897e-12
despacito y con buena letra,lectura y escritura,15,3.63797656885e-07,-7.96143583083e-07
el que nace barrigon aunque lo fajen,partes del cuerpo,9,2.78691631512e-08,1.31962624607e-09
llegando y haciendo lumbre,naturaleza,4,-0.000572041284627,4.12441386035e-07
mas vale una hora tarde que un minuto de silencio,tiempo,9,1.15719191039e-08,5.43633144782e-10
la conquista de si mismo es la mayor de las victorias,personas,9,8.76769078257e-15,-3.2443779364e-13
a buena hambre no hay pan duro,comida,9,-1.24454841851e-07,3.56266649647e-11
el que es buen juez por su casa empieza,personas,9,1.29593788008e-09,1.63953517582e-12
a cada edad lo suyo,tiempo,8,-1.99031441229e-05,1.26323193383e-05
